structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
673	1	N/A	-269.08524870452436	C6H12N4	[M + H]+	IEDCLYAPAYEWEU	InChI=1S/C6H12N4/c1-7-3-2-6-10-8-4-5-9-10/h4-5,7H,2-3,6H2,1H3	null	CNCCCN1N=CC=N1	0.100000001	84020673	PubChem:(84020673)	2
674	1	N/A	-269.11603451498905	C6H12N4	[M + H]+	VBLDPSBFRFKOKT	InChI=1S/C6H12N4/c1-9-4-3-8-6(9)5-10(2)7/h3-4H,5,7H2,1-2H3	null	CN1C=CN=C1CN(C)N	-0.899999976	80036055	PubChem:(80036055)	2
675	1	N/A	-269.6932739098746	C6H12N4	[M + H]+	NJTJWXVAJTXLCF	InChI=1S/C6H12N4/c1-2-8-3-5-6(7)10-4-9-5/h4,8H,2-3,7H2,1H3,(H,9,10)	null	CCNCC1=C(N=CN1)N	0.0	117214225	PubChem:(117214225)	2
676	1	N/A	-269.7549544342529	C6H12N4	[M + H]+	CUICFFAIFHJGBA	InChI=1S/C6H12N4/c1-3-10-4-9-5(7)6(10)8-2/h4,8H,3,7H2,1-2H3	null	CCN1C=NC(=C1NC)N	0.300000012	130475708	PubChem:(130475708)	2
677	1	N/A	-269.81105560273085	C6H12N4	[M + H]+	FEHICAXKHKVQNW	InChI=1S/C6H12N4/c1-5-3-6(4-8-7)10(2)9-5/h3,8H,4,7H2,1-2H3	null	CC1=NN(C(=C1)CNN)C	-0.699999988	65847961	PubChem:(65847961)	2
678	1	N/A	-269.8730994817555	C6H12N4	[M + H]+	OKIYPFZZDQLNMP	InChI=1S/C6H12N4/c1-2-3-4-5-6-7-9-10-8-6/h2-5H2,1H3,(H,7,8,9,10)	5-pentyl-2H-tetrazole	CCCCCC1=NNN=N1	1.70000005	4400704	PubChem:(4400704);PubMed	66
679	1	N/A	-269.901894868276	C6H12N4	[M + H]+	UFJLUBUEHYODQI	InChI=1S/C6H12N4/c1-8-6-5(4-7)9-2-3-10-6/h4,9H,2-3,7H2,1H3,(H,8,10)	null	CN=C1C(=CN)NCCN1	-0.800000012	137216794	PubChem:(137216794)	2
680	1	N/A	-270.0861586198352	C6H12N4	[M + H]+	CRNXPNVNXQBINQ	InChI=1S/C6H13N4/c1-2-3-6-9(7)4-5-10(6)8/h4-5H,2-3,7-8H2,1H3/q+1	2-propylimidazol-1-ium-1,3-diamine	CCCC1=[N+](C=CN1N)N	0.800000012	17994044	PubChem:(17994044)	2
681	1	N/A	-270.0946286467785	C6H12N4	[M + H]+	NEEMGJZAPIGVJE	InChI=1S/C6H12N4/c1-2-6(8)3-4-9-5(7)10-6/h3-4H,2,8H2,1H3,(H3,7,9,10)	null	CCC1(C=CNC(=N1)N)N	-1.0	67413305	PubChem:(67413305)	2
682	1	N/A	-270.2480837850379	C6H12N4	[M + H]+	UBQBOKVUMDZBQX	InChI=1S/C6H12N4/c1-3-10-4-6(5(2)7)8-9-10/h4-5H,3,7H2,1-2H3	null	CCN1C=C(N=N1)C(C)N	-0.699999988	84762620;126982456;130567467	PubChem:(84762620 126982456 130567467)	2
683	1	N/A	-270.33066592491224	C6H12N4	[M + H]+	LQNAFUDWSVUCGH	InChI=1S/C6H12N4/c1-4(2)10-6(7)5(3)8-9-10/h4H,7H2,1-3H3	null	CC1=C(N(N=N1)C(C)C)N	0.400000006	105428157	PubChem:(105428157)	2
684	1	N/A	-270.35299957589285	C6H12N4	[M + H]+	JHBCOYUFXDPZBX	InChI=1S/C6H12N4/c1-2-6(7)5-10-4-3-8-9-10/h3-4,6H,2,5,7H2,1H3	null	CCC(CN1C=CN=N1)N	-0.400000006	86262523;99737510;99737511	PubChem:(86262523 99737510 99737511)	2
685	1	N/A	-270.7867689710712	C6H12N4	[M + H]+	AYIFEJWPBRRMRS	InChI=1S/C6H12N4/c1-2-10-6(8)5(3-7)4-9-10/h4H,2-3,7-8H2,1H3	null	CCN1C(=C(C=N1)CN)N	-0.400000006	115069506	PubChem:(115069506)	2
686	1	N/A	-271.1954894083387	C6H12N4	[M + H]+	YDFVCQAAXIIGIQ	InChI=1S/C6H12N4/c1-2-3-4-10-5-6(7)8-9-10/h5H,2-4,7H2,1H3	null	CCCCN1C=C(N=N1)N	0.5	21610665	PubChem:(21610665);PubMed	66
687	1	N/A	-271.3490702469376	C6H12N4	[M + H]+	RZPFZHUFZYNAJS	InChI=1S/C6H12N4/c7-2-4-9-10-5-1-3-8-6-10/h1,3,5,9H,2,4,6-7H2	N''-(2H-pyrimidin-1-yl)ethane-1,2-diamine	C1N=CC=CN1NCCN	-1.29999995	19876822	PubChem:(19876822)	2
688	1	N/A	-271.55174478956843	C6H12N4	[M + H]+	QREYDODBTLXEGO	InChI=1S/C6H12N4/c1-5(3-7)6-4-8-10(2)9-6/h4-5H,3,7H2,1-2H3	null	CC(CN)C1=NN(N=C1)C	-0.100000001	130603247	PubChem:(130603247)	2
689	1	N/A	-271.730383197524	C6H12N4	[M + H]+	FXQOTTKAHLPLGZ	InChI=1S/C6H12N4/c7-3-1-2-5-10-6-4-8-9-10/h4,6H,1-3,5,7H2	null	C1=CN(N=N1)CCCCN	-0.600000024	75355685	PubChem:(75355685)	2
690	1	N/A	-271.7979936662025	C6H12N4	[M + H]+	CDUZQUAAQUTBKY	InChI=1S/C6H12N4/c1-5-7-8-9-10(5)6(2,3)4/h1H2,2-4H3,(H,7,9)	null	CC(C)(C)N1C(=C)N=NN1	2.70000005	58119270	PubChem:(58119270)	2
691	1	N/A	-271.88526596083926	C6H12N4	[M + H]+	NYYZMHOITGJKBH	InChI=1S/C6H12N4/c1-5(2)6(3)10-8-4-7-9-10/h4-6H,1-3H3	null	CC(C)C(C)N1N=CN=N1	1.79999995	132252390	PubChem:(132252390)	2
692	1	N/A	-271.9736841478687	C6H12N4	[M + H]+	VEINYFRSPBTPPC	InChI=1S/C6H12N4/c1-3-4-5-6(7)10(2)9-8-5/h3-4,7H2,1-2H3	null	CCCC1=C(N(N=N1)C)N	0.5	83635331	PubChem:(83635331)	2
693	1	N/A	-272.1629440913629	C6H12N4	[M + H]+	ZTJHJFYMWGHXHY	InChI=1S/C6H12N4/c1-4-3-10(8)6(7)9-5(4)2/h3,8H2,1-2H3,(H2,7,9)	null	CC1=C(N=C(N(C1)N)N)C	-1.20000005	57299824	PubChem:(57299824)	2
694	1	N/A	-272.17996093492746	C6H12N4	[M + H]+	LACMTLQXIYSGCZ	InChI=1S/C6H12N4/c1-5(9-7)6-3-8-4-10(6)2/h3-5,9H,7H2,1-2H3	null	CC(C1=CN=CN1C)NN	-0.899999976	121603974	PubChem:(121603974)	2
695	1	N/A	-272.3948675436179	C6H12N4	[M + H]+	MUOXQMCIGVOISH	InChI=1S/C6H12N4/c1-4-9-5(2-3-7)6(8)10-4/h2-3,7-8H2,1H3,(H,9,10)	null	CC1=NC(=C(N1)CCN)N	-0.5	98774492	PubChem:(98774492)	2
696	1	N/A	-272.49924424422863	C6H12N4	[M + H]+	RWLNTXSHNXOBAE	InChI=1S/C6H12N4/c1-5-4-6(8)10(9-5)3-2-7/h4H,2-3,7-8H2,1H3	null	CC1=NN(C(=C1)N)CCN	-0.699999988	121214057	PubChem:(121214057)	2
697	1	N/A	-272.81333956395446	C6H12N4	[M + H]+	BULGTSNQBQSCBW	InChI=1S/C6H12N4/c1-4(2)10-5(3)6(7)8-9-10/h4H,7H2,1-3H3	null	CC1=C(N=NN1C(C)C)N	0.400000006	79542604	PubChem:(79542604)	2
698	1	N/A	-272.93055767376694	C6H12N4	[M + H]+	LTMZMHICGJEDCE	InChI=1S/C6H12N4/c1-8-4-6-5(7)3-9-10(6)2/h3,8H,4,7H2,1-2H3	null	CNCC1=C(C=NN1C)N	-0.5	117217716	PubChem:(117217716)	2
699	1	N/A	-273.2825757642486	C6H12N4	[M + H]+	PNNRSBAUQRBBQK	InChI=1S/C6H12N4/c1-4(7)2-5-3-9-6(8)10-5/h3-4H,2,7H2,1H3,(H3,8,9,10)	null	CC(CC1=CN=C(N1)N)N	-0.5	89173449	PubChem:(89173449)	2
700	1	N/A	-273.4407489002539	C6H12N4	[M + H]+	SQBFNIYWNRIOOZ	InChI=1S/C6H12N4/c7-4-5(8)3-6-9-1-2-10-6/h1-2,5H,3-4,7-8H2,(H,9,10)	3-(1H-imidazol-2-yl)propane-1,2-diamine	C1=CN=C(N1)CC(CN)N	-1.5	17981041;67231980	PubChem:(17981041 67231980)	2
701	1	N/A	-273.5494168297736	C6H12N4	[M + H]+	WNGABRXSMFFQGI	InChI=1S/C6H12N4/c1-2-3-10-5-6(9-7)4-8-10/h4-5,9H,2-3,7H2,1H3	null	CCCN1C=C(C=N1)NN	0.300000012	116701086	PubChem:(116701086)	2
702	1	N/A	-273.7263143412064	C6H12N4	[M + H]+	LMFFIFZAIOCTCU	InChI=1S/C6H12N4/c1-2-4-10-5-8-9-6(10)7-3-1/h5-7,9H,1-4H2	null	C1CCN2C=NNC2NC1	0.200000003	69550319	PubChem:(69550319)	2
703	1	N/A	-273.92561438078627	C6H12N4	[M + H]+	YZGQJGZOJWXWSG	InChI=1S/C6H12N4/c1-10(2)9-4-6-3-7-5-8-6/h3,5,9H,4H2,1-2H3,(H,7,8)	null	CN(C)NCC1=CN=CN1	-0.300000012	83005666	PubChem:(83005666)	2
704	1	N/A	-274.3278970102761	C6H12N4	[M + H]+	UWHDGPWCZDZSTL	InChI=1S/C6H12N4/c1-5-3-4-10(6(7)8)9(5)2/h3H,4H2,1-2H3,(H3,7,8)	null	CC1=CCN(N1C)C(=N)N	0.100000001	54375624	PubChem:(54375624)	2
705	1	N/A	-274.42601064607214	C6H12N4	[M + H]+	MJKACRXSYWVWIO	InChI=1S/C6H12N4/c1-3-7-4-6-5-8-10(2)9-6/h5,7H,3-4H2,1-2H3	null	CCNCC1=NN(N=C1)C	0.0	130520988	PubChem:(130520988)	2
706	1	N/A	-274.5896650858591	C6H12N4	[M + H]+	LKIRMNALXGEDIX	InChI=1S/C6H12N4/c1-4(3-7)6-5(2)8-10-9-6/h4H,3,7H2,1-2H3,(H,8,9,10)	null	CC1=NNN=C1C(C)CN	-0.300000012	82594207	PubChem:(82594207)	2
707	1	N/A	-274.8890052573906	C6H12N4	[M + H]+	CLKJHWQJSRXDCO	InChI=1S/C6H12N4/c7-5-4-9-10-3-1-2-8-6(5)10/h4,6,8-9H,1-3,7H2	null	C1CNC2C(=CNN2C1)N	-0.5	89705384	PubChem:(89705384)	2
708	1	N/A	-274.93651996144945	C6H12N4	[M + H]+	SVEMNIOLAMGVIY	InChI=1S/C6H12N4/c1-10-6(2-4-8-7)3-5-9-10/h3,5,8H,2,4,7H2,1H3	null	CN1C(=CC=N1)CCNN	-0.600000024	103000459	PubChem:(103000459)	2
709	1	N/A	-275.04494442280577	C6H12N4	[M + H]+	SQQMJKHHMWYZAV	InChI=1S/C6H12N4/c1-2-3(7)5(9)6(10)4(2)8/h3,5,10H,7-9H2,1H3	null	CC1=C(C(=N)C(C1N)N)N	-2.0999999	89327997	PubChem:(89327997)	2
710	1	N/A	-275.2148302258221	C6H12N4	[M + H]+	OVEMBRJECAVVST	InChI=1S/C6H12N4/c1-3-6(2,7)5-8-4-9-10-5/h4H,3,7H2,1-2H3,(H,8,9,10)	null	CCC(C)(C1=NC=NN1)N	0.0	79791412	PubChem:(79791412)	2
711	1	N/A	-275.3452202335348	C6H12N4	[M + H]+	OLJHXEVNRHMBMR	InChI=1S/C6H12N4/c7-8-3-1-5-10-6-2-4-9-10/h2,4,6,8H,1,3,5,7H2	null	C1=CN(N=C1)CCCNN	-0.699999988	127010106	PubChem:(127010106)	2
712	1	N/A	-275.3528870557524	C6H12N4	[M + H]+	HSTOIWOOYHOCCT	InChI=1S/C6H12N4/c1-5(2)3-10-4-6(7)8-9-10/h4-5H,3,7H2,1-2H3	null	CC(C)CN1C=C(N=N1)N	0.600000024	79530202	PubChem:(79530202)	2
713	1	N/A	-275.3680672500422	C6H12N4	[M + H]+	UIACIGRTLSBWMZ	InChI=1S/C6H12N4/c1-5-4-10(9-8-5)6(2,3)7/h4H,7H2,1-3H3	null	CC1=CN(N=N1)C(C)(C)N	-0.200000003	139438587	PubChem:(139438587)	2
714	1	N/A	-275.4654212966668	C6H12N4	[M + H]+	UAAYTVDMVDBVEK	InChI=1S/C6H12N4/c1-4(7-3)6-8-5(2)9-10-6/h4,7H,1-3H3,(H,8,9,10)	null	CC1=NC(=NN1)C(C)NC	0.200000003	62639619;94522237	PubChem:(62639619 94522237)	2
715	1	N/A	-275.55315151621573	C6H12N4	[M + H]+	LQTSGYSPPYNZCS	InChI=1S/C6H12N4/c7-2-5(8)1-6-3-9-4-10-6/h3-5H,1-2,7-8H2,(H,9,10)	3-(1H-imidazol-5-yl)propane-1,2-diamine	C1=C(NC=N1)CC(CN)N	-1.5	17920486;55285196	EcoCyc Mine;PubChem:(17920486 55285196);KEGG Mine	25769803778
716	1	N/A	-275.62436257121794	C6H12N4	[M + H]+	WKQWASWRGIDTTK	InChI=1S/C6H12N4/c1-5(2)8-6-4-7-9-10(6)3/h4-5,8H,1-3H3	null	CC(C)NC1=CN=NN1C	0.800000012	130486113	PubChem:(130486113)	2
717	1	N/A	-275.6265650797491	C6H12N4	[M + H]+	QFANVMCWDAPPMK	InChI=1S/C6H12N4/c1-5(9-7)10(8-2)6-3-4-6/h6H,2-4,7H2,1H3	null	CC(=NN)N(C1CC1)N=C	1.70000005	88967583	PubChem:(88967583)	2
718	1	N/A	-276.02984145908954	C6H12N4	[M + H]+	WADSACXNRDFMJE	InChI=1S/C6H12N4/c1-4(7)3-6-8-5(2)9-10-6/h4H,3,7H2,1-2H3,(H,8,9,10)	1-(3-methyl-1H-1,2,4-triazol-5-yl)propan-2-amine	CC1=NC(=NN1)CC(C)N	0.200000003	54593656;94191727;94191728	PubChem:(54593656 94191727 94191728)	2
719	1	N/A	-276.08189385787836	C6H12N4	[M + H]+	FWGSVRNTXYYOBV	InChI=1S/C6H12N4/c1-4-3-6(7)10(8)5(2)9-4/h3,6H,7-8H2,1-2H3/p+1	null	CC1=CC([N+](=C(N1)C)N)N	-1.10000002	87937629	PubChem:(87937629)	2
720	1	N/A	-276.1227445406178	C6H12N4	[M + H]+	ACLSXNCLVQPKMS	InChI=1S/C6H12N4/c1-4(7)5-3-9-6(8-2)10-5/h3-4H,7H2,1-2H3,(H2,8,9,10)	null	CC(C1=CN=C(N1)NC)N	-0.300000012	130502171	PubChem:(130502171)	2
721	1	N/A	-276.5203500638154	C6H12N4	[M + H]+	FQXPWGZCGTXHON	InChI=1S/C6H12N4/c1-3-5(7)6-9-8-4-10(6)2/h4-5H,3,7H2,1-2H3	null	CCC(C1=NN=CN1C)N	-0.800000012	62694083;94552507;94552508	PubChem:(62694083 94552507 94552508)	2
722	1	N/A	-276.573356328187	C6H12N4	[M + H]+	XIUTYLRIOZBQEA	InChI=1S/C6H12N4/c1-2-8-4-6-5(7)3-9-10-6/h3,8H,2,4,7H2,1H3,(H,9,10)	null	CCNCC1=C(C=NN1)N	-0.100000001	117217816	PubChem:(117217816)	2
723	1	N/A	-276.93527850706016	C6H12N4	[M + H]+	WCUQGIFTOSHAHG	InChI=1S/C6H12N4/c1-3-4-10-6(7-2)5-8-9-10/h5,7H,3-4H2,1-2H3	null	CCCN1C(=CN=N1)NC	0.800000012	126974476	PubChem:(126974476)	2
724	1	N/A	-276.962938416484	C6H12N4	[M + H]+	KGIKGDSYLYITJS	InChI=1S/C6H12N4/c1-4-6(8)10-5(9-4)2-3-7/h2-3,7-8H2,1H3,(H,9,10)	null	CC1=C(N=C(N1)CCN)N	-0.5	130118815	PubChem:(130118815)	2
725	1	N/A	-277.1224593045092	C6H12N4	[M + H]+	ZNYGOZKZTURRAC	InChI=1S/C6H12N4/c1-3-5-9-4(2)6(7)10(5)8/h3,7-8H2,1-2H3	null	CCC1=NC(=C(N1N)N)C	0.699999988	62483589	PubChem:(62483589)	2
726	1	N/A	-277.1791498808648	C6H12N4	[M + H]+	IZRWMWMIMRCBGC	InChI=1S/C6H12N4/c1-9(2)6-5(7)4-8-10(6)3/h4H,7H2,1-3H3	1H-Pyrazole-4,5-diamine, N5,N5,1-trimethyl-	CN1C(=C(C=N1)N)N(C)C	0.0	18668124;19990239	PubChem:(18668124 19990239)	2
727	1	N/A	-277.2898258486243	C6H12N4	[M + H]+	NYAAYQCORZRREN	InChI=1S/C6H12N4/c7-6-8-5-3-1-2-4-10(5)9-6/h5H,1-4H2,(H3,7,8,9)	null	C1CCN2C(C1)N=C(N2)N	-0.100000001	67427617	PubChem:(67427617)	2
728	1	N/A	-277.4397465083521	C6H12N4	[M + H]+	BJGFBVXFSVJOBR	InChI=1S/C6H12N4/c7-4-2-1-3-6-5-8-10-9-6/h5H,1-4,7H2,(H,8,9,10)	null	C1=NNN=C1CCCCN	-0.300000012	104539318	PubChem:(104539318)	2
729	1	N/A	-277.65358114483445	C6H12N4	[M + H]+	YYISFZKCXKKBRE	InChI=1S/C6H12N4/c1-6(2,7)3-5-4-8-10-9-5/h4H,3,7H2,1-2H3,(H,8,9,10)	null	CC(C)(CC1=NNN=C1)N	-0.400000006	96732949	PubChem:(96732949)	2
730	1	N/A	-277.69259929451295	C6H12N4	[M + H]+	ZYCNFHXZCJKQGI	InChI=1S/C6H12N4/c1-2-5-6(3-4-7)9-10-8-5/h2-4,7H2,1H3,(H,8,9,10)	null	CCC1=NNN=C1CCN	-0.200000003	84762621	PubChem:(84762621)	2
731	1	N/A	-277.8725355643663	C6H12N4	[M + H]+	LWRHHSUULMPRFV	InChI=1S/C6H12N4/c1-3-5-6(7)10(8)4(2)9-5/h3,7-8H2,1-2H3	null	CCC1=C(N(C(=N1)C)N)N	0.699999988	62482771	PubChem:(62482771)	2
732	1	N/A	-277.8726727471441	C6H12N4	[M + H]+	BGKZOOJTOCTSJK	InChI=1S/C6H12N4/c1-4-5(2)6-7-9-10(3)8-6/h5H,4H2,1-3H3	5-butan-2-yl-2-methyltetrazole	CCC(C)C1=NN(N=N1)C	1.60000002	59217412	PubChem:(59217412)	2
733	1	N/A	-277.9492530402423	C6H12N4	[M + H]+	MQWSGPKPFURBIC	InChI=1S/C6H12N4/c1-3-5(4-2)6-7-9-10-8-6/h5H,3-4H2,1-2H3,(H,7,8,9,10)	null	CCC(CC)C1=NNN=N1	1.29999995	68801132	PubChem:(68801132)	2
734	1	N/A	-278.1693157672712	C6H12N4	[M + H]+	NMHCNWRIEUCNEX	InChI=1S/C6H12N4/c1-4-5(2-3-7)10-6(8)9-4/h2-3,7H2,1H3,(H3,8,9,10)	ACMC-20lgjx	CC1=C(N=C(N1)N)CCN	-0.5	145977	MeSH:(145977);PubChem:(145977);PubMed	70
735	1	N/A	-278.32043901470377	C6H12N4	[M + H]+	IEHGLMFZSCJNRB	InChI=1S/C6H12N4/c1-6(7-2)3-10-4-8-9-5-10/h4-7H,3H2,1-2H3	null	CC(CN1C=NN=C1)NC	-0.600000024	83826241	PubChem:(83826241)	2
736	1	N/A	-278.3933506817913	C6H12N4	[M + H]+	BUWSOINOVSYRBU	InChI=1S/C6H12N4/c1-5(7)10-4-6-8-2-3-9-6/h2-3,5,10H,4,7H2,1H3,(H,8,9)	null	CC(N)NCC1=NC=CN1	-0.899999976	53702493	PubChem:(53702493)	2
737	1	N/A	-278.4025992915375	C6H12N4	[M + H]+	JBSMCZFNYPCLAV	InChI=1S/C6H12N4/c1-5-3-4-10(6(7)8)9(5)2/h3-5H,1-2H3,(H3,7,8)	2,3-dimethyl-3H-pyrazole-1-carboximidamide	CC1C=CN(N1C)C(=N)N	-0.100000001	22914722	PubChem:(22914722)	2
738	1	N/A	-278.58089436519475	C6H12N4	[M + H]+	OFPJFJWHPHBWDD	InChI=1S/C6H12N4/c1-5(9-2)10-4-6(8)3-7/h3-4,9H,1,7-8H2,2H3	null	CNC(=C)N=CC(=CN)N	-0.200000003	89025485	PubChem:(89025485)	2
739	1	N/A	-278.7088324839284	C6H12N4	[M + H]+	NEXGENSLKKBQQX	InChI=1S/C6H12N4/c1-3-5(7-2)6-8-4-9-10-6/h4-5,7H,3H2,1-2H3,(H,8,9,10)	null	CCC(C1=NC=NN1)NC	0.300000012	61818152	PubChem:(61818152)	2
740	1	N/A	-278.7237393324523	C6H12N4	[M + H]+	IUZZWTDBPLHNAQ	InChI=1S/C6H12N4/c1-3-4-5-6(7)8-9-10(5)2/h3-4,7H2,1-2H3	null	CCCC1=C(N=NN1C)N	0.5	79543354	PubChem:(79543354)	2
741	1	N/A	-278.72796942166195	C6H12N4	[M + H]+	JKBVRQHRFLMQNV	InChI=1S/C6H12N4/c1-3-4-5(2)6-7-9-10-8-6/h5H,3-4H2,1-2H3,(H,7,8,9,10)	null	CCCC(C)C1=NNN=N1	1.5	89063554	PubChem:(89063554)	2
742	1	N/A	-278.7958940340724	C6H12N4	[M + H]+	YGPGSKHWMXPAMI	InChI=1S/C6H12N4/c1-6(2,7)5-4-8-9-10(5)3/h4H,7H2,1-3H3	null	CC(C)(C1=CN=NN1C)N	-0.800000012	126980289	PubChem:(126980289)	2
743	1	N/A	-278.85565927722996	C6H12N4	[M + H]+	UBMVEIKIZGKSLK	InChI=1S/C6H12N4/c1-10-5-2-6(9-10)8-4-3-7/h2,5H,3-4,7H2,1H3,(H,8,9)	null	CN1C=CC(=N1)NCCN	-0.400000006	84076076	PubChem:(84076076)	2
744	1	N/A	-278.88846185743864	C6H12N4	[M + H]+	XTOQIUDHYRXNLM	InChI=1S/C6H12N4/c1-4-3-6(7)9-5(2)10(4)8/h3-4H,7-8H2,1-2H3/p+1	null	CC1C=C(NC(=[N+]1N)C)N	-0.800000012	87937727	PubChem:(87937727)	2
745	1	N/A	-278.9927551683182	C6H12N4	[M + H]+	FGEHBFSXTBNPIM	InChI=1S/C6H12N4/c1-2-4(7)5-3-9-6(8)10-5/h3-4H,2,7H2,1H3,(H3,8,9,10)	null	CCC(C1=CN=C(N1)N)N	-0.5	69890849	PubChem:(69890849)	2
746	1	N/A	-279.1057597020453	C6H12N4	[M + H]+	WRWHJPIPJANPNQ	InChI=1S/C6H12N4/c1-5(4-7)10-3-2-6(8)9-10/h2-3,5H,4,7H2,1H3,(H2,8,9)	null	CC(CN)N1C=CC(=N1)N	-0.699999988	82502453	PubChem:(82502453)	2
747	1	N/A	-279.40968549721777	C6H12N4	[M + H]+	QFPIRCHBVPAYMZ	InChI=1S/C6H12N4/c1-4-5(2)10-6(3)7-8-9-10/h5H,4H2,1-3H3	null	CCC(C)N1C(=NN=N1)C	1.20000005	118351948	PubChem:(118351948)	2
748	1	N/A	-279.4886790926967	C6H12N4	[M + H]+	XONOMBSLUWZIHE	InChI=1S/C6H12N4/c1-3-10-5(2)6(4-7)8-9-10/h3-4,7H2,1-2H3	null	CCN1C(=C(N=N1)CN)C	-0.699999988	82207441	PubChem:(82207441)	2
749	1	N/A	-279.7136468363516	C6H12N4	[M + H]+	WBCGJASSWGFJAK	InChI=1S/C6H12N4/c1-2-3-4-5-10-8-6-7-9-10/h6H,2-5H2,1H3	2-pentyltetrazole	CCCCCN1N=CN=N1	1.79999995	17844666	PubChem:(17844666)	2
750	1	N/A	-279.7714863444085	C6H12N4	[M + H]+	VKTQXPYECRXXMK	InChI=1S/C6H12N4/c1-5-3-4-8-6(9-7)10(5)2/h3-5H,7H2,1-2H3,(H,8,9)	null	CC1C=CN=C(N1C)NN	-0.699999988	89406632	PubChem:(89406632)	2
751	1	N/A	-279.90661427502226	C6H12N4	[M + H]+	ZSRRDSPWXNJYPK	InChI=1S/C6H12N4/c1-5-6(3-4-7)9-10(2)8-5/h3-4,7H2,1-2H3	null	CC1=NN(N=C1CCN)C	0.0	96637210	PubChem:(96637210)	2
752	1	N/A	-280.6107678284593	C6H12N4	[M + H]+	NSFDYQWCFLRNOI	InChI=1S/C6H12N4/c1-6(4-7)5-10-8-2-3-9-10/h2-3,6H,4-5,7H2,1H3	null	CC(CN)CN1N=CC=N1	0.0	84020675	PubChem:(84020675)	2
753	1	N/A	-280.6361798525279	C6H12N4	[M + H]+	PZSRJLZFQGEFSY	InChI=1S/C6H12N4/c1-5(7)3-6-4-10(2)9-8-6/h4-5H,3,7H2,1-2H3	null	CC(CC1=CN(N=N1)C)N	-0.5	62757244;94583240;94583241	PubChem:(62757244 94583240 94583241)	2
754	1	N/A	-280.8034169256322	C6H12N4	[M + H]+	GYSWGQFFTJFLLI	InChI=1S/C6H12N4/c1-5(7)3-6-9-8-4-10(6)2/h4-5H,3,7H2,1-2H3	null	CC(CC1=NN=CN1C)N	-0.800000012	62694081	PubChem:(62694081)	2
755	1	N/A	-280.8754804791464	C6H12N4	[M + H]+	FYWSJGRDVJPBTE	InChI=1S/C6H12N4/c7-2-4-8-5-6-1-3-9-10-6/h1,3,8H,2,4-5,7H2,(H,9,10)	N''-(1H-pyrazol-5-ylmethyl)ethane-1,2-diamine	C1=C(NN=C1)CNCCN	-1.29999995	14009873	PubChem:(14009873)	2
756	1	N/A	-281.2045652032101	C6H12N4	[M + H]+	HDPHIVVHKSKULM	InChI=1S/C6H12N4/c1-2-10-4-3-5(7)9-6(10)8/h3-4,6H,2,8H2,1H3,(H2,7,9)	null	CCN1C=CC(=NC1N)N	-1.20000005	68327006	PubChem:(68327006)	2
757	1	N/A	-281.29778334599786	C6H12N4	[M + H]+	YCAGVKFCPFYBDX	InChI=1S/C6H12N4/c1-7-8-3-6-4-9-10(2)5-6/h4-5,7-8H,3H2,1-2H3	null	CNNCC1=CN(N=C1)C	-0.600000024	123485608	PubChem:(123485608)	2
758	1	N/A	-281.3418427957037	C6H12N4	[M + H]+	JEUMOIOISVIXPM	InChI=1S/C6H12N4/c1-5(2)7-3-6-4-8-10-9-6/h4-5,7H,3H2,1-2H3,(H,8,9,10)	null	CC(C)NCC1=NNN=C1	-0.200000003	61320362	PubChem:(61320362)	2
759	1	N/A	-281.4701291016838	C6H12N4	[M + H]+	BFKUFVSIHFTHPO	InChI=1S/C6H12N4/c1-5(2)6-4-10(7-3)9-8-6/h4-5,7H,1-3H3	null	CC(C)C1=CN(N=N1)NC	1.29999995	123165777	PubChem:(123165777)	2
760	1	N/A	-281.65295248495937	C6H12N4	[M + H]+	BPANNTFKXQXCJJ	InChI=1S/C6H12N4/c1-4(7)10-3-5(10)2-6(8)9/h5,7H,2-3H2,1H3,(H3,8,9)	null	CC(=N)N1CC1CC(=N)N	-1.39999998	129059185	PubChem:(129059185)	2
761	1	N/A	-281.6559934665733	C6H12N4	[M + H]+	PTGFJCJFWWLPIW	InChI=1S/C6H12N4/c7-2-1-6-5-10(8)4-3-9-6/h1-2H,3-5,7-8H2	null	C1CN(CC(=N1)C=CN)N	-1.39999998	126687679	PubChem:(126687679)	2
762	1	N/A	-281.91165180253444	C6H12N4	[M + H]+	XZQRWODMBUTSKZ	InChI=1S/C6H12N4/c7-1-2-8-3-6-4-9-10-5-6/h4-5,8H,1-3,7H2,(H,9,10)	null	C1=C(C=NN1)CNCCN	-1.39999998	70458454	PubChem:(70458454)	2
763	1	N/A	-281.9860031835945	C6H12N4	[M + H]+	AEBMZENUICYEFV	InChI=1S/C6H12N4/c1-10-6(8)5(2-3-7)4-9-10/h4H,2-3,7-8H2,1H3	4-(2-aminoethyl)-2-methylpyrazol-3-amine	CN1C(=C(C=N1)CCN)N	-0.800000012	17961977	PubChem:(17961977)	2
