structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
490	1	N/A	-134.61520816325896	C6H12O4	[M + H3N + H]+	GSEJDAUNFFDPCZ	InChI=1S/C6H12O4/c1-5(2)3-9-10-4-6(7)8/h5H,3-4H2,1-2H3,(H,7,8)	null	CC(C)COOCC(=O)O	1.10000002	55301000	PubChem:(55301000)	2
491	1	N/A	-134.6290362567679	C6H12O4	[M + H3N + H]+	RQNGNOYCCJUOAC	InChI=1S/C6H12O4/c1-4(6(9)10)2-3-5(7)8/h4,6,9-10H,2-3H2,1H3,(H,7,8)	null	CC(CCC(=O)O)C(O)O	-0.300000012	90278545	PubChem:(90278545)	2
492	1	N/A	-134.73249234433123	C6H12O4	[M + H3N + H]+	HFHWELMJHBZTIJ	InChI=1S/C6H12O4/c1-4(7)6(9)3-10-5(2)8/h4,6-7,9H,3H2,1-2H3	null	CC(C(COC(=O)C)O)O	-0.800000012	57028631	PubChem:(57028631)	2
493	1	N/A	-134.76150172257744	C6H12O4	[M + H3N + H]+	JSNCFFBCFUYJBF	InChI=1S/C6H12O4/c1-4(7)3-6(9)10-5(2)8/h4-5,7-8H,3H2,1-2H3	null	CC(CC(=O)OC(C)O)O	0.321133256	""	YMDB Mine;KEGG Mine	42949672960
494	1	N/A	-135.33610863457275	C6H12O4	[M + H3N + H]+	VSHNJVMOSFHKOW	InChI=1S/C6H12O4/c1-3-8-5-10-6(7)9-4-2/h3-5H2,1-2H3	null	CCOCOC(=O)OCC	1.20000005	87247450	PubChem:(87247450)	2
495	1	N/A	-135.41130673545462	C6H12O4	[M + H3N + H]+	NSMOFGQDZPVYLQ	InChI=1S/C6H12O4/c1-9-4-7-3-8-5-10(2)6-9/h1-6H2	null	[CH2-][O+]1COCOC[O+](C1)[CH2-]	0.0	88862398	PubChem:(88862398)	2
496	1	N/A	-135.6427143462111	C6H12O4	[M + H3N + H]+	VNLQDRVBTCIHPS	InChI=1S/C6H12O4/c1-10-6(9)2-5(3-7)4-8/h5,7-8H,2-4H2,1H3	null	COC(=O)CC(CO)CO	-0.478634775	56990026	PubChem:(56990026)	2
497	1	N/A	-135.81811144756097	C6H12O4	[M + H3N + H]+	OFPFQXGLHZQGSJ	InChI=1S/C6H12O4/c1-9-6(2-3-7)10-5-4-8/h3,6,8H,2,4-5H2,1H3	null	COC(CC=O)OCCO	-1.20000005	54147785	PubChem:(54147785)	2
498	1	N/A	-135.84919033831477	C6H12O4	[M + H3N + H]+	XEHIXZCIQGNERI	InChI=1S/C6H12O4/c1-3-5(4-9-2)10-6(7)8/h5H,3-4H2,1-2H3,(H,7,8)	null	CCC(COC)OC(=O)O	1.0	87841931	PubChem:(87841931)	2
499	1	N/A	-135.94061210169116	C6H12O4	[M + H3N + H]+	GHWRZRNYIIZFRP	InChI=1S/C6H12O4/c1-6(2,9)4(7)5(8)10-3/h4,7,9H,1-3H3	Butanoic acid, 2,3-dihydroxy-3-methyl-, methyl ester	CC(C)(C(C(=O)OC)O)O	-0.600000024	12603546;101166887;101658720	PubChem:(12603546 101166887 101658720);YMDB Mine;KEGG Mine	42949672962
500	1	N/A	-136.04629871495507	C6H12O4	[M + H3N + H]+	YMCXLWHOKXIWAY	InChI=1S/C6H12O4/c1-2-3-4-9-6(8)10-5-7/h7H,2-5H2,1H3	null	CCCCOC(=O)OCO	1.20000005	53661251	PubChem:(53661251)	2
501	1	N/A	-136.06878847320198	C6H12O4	[M + H3N + H]+	VNVJLHJUMLXTLA	InChI=1S/C6H12O4/c1-6(2,9)4(10-3)5(7)8/h4,9H,1-3H3,(H,7,8)	null	CC(C)(C(C(=O)O)OC)O	-0.400000006	55303632;76226086	PubChem:(55303632 76226086);YMDB Mine;KEGG Mine	42949672962
502	1	N/A	-136.15916466074702	C6H12O4	[M + H3N + H]+	RBVDDMZZAOIECF	InChI=1S/C6H12O4/c7-2-4-1-6(9)10-5(4)3-8/h4-9H,1-3H2	null	C1C(C(OC1O)CO)CO	-1.39999998	55252998;76218976	PubChem:(55252998 76218976)	2
503	1	N/A	-136.50868161216692	C6H12O4	[M + H3N + H]+	CHWGGOSBXSLBNX	InChI=1S/C6H12O4/c1-9-3-4-2-5(7)6(8)10-4/h4-8H,2-3H2,1H3	null	COCC1CC(C(O1)O)O	-1.0	58444030;130830224;130858619	PubChem:(58444030 130830224 130858619);PubMed	66
504	1	N/A	-136.60839904515637	C6H12O4	[M + H3N + H]+	QLMLPLYPWYXCLG	InChI=1S/C6H12O4/c1-3-4(2-7)10-6(9)5(3)8/h3-9H,2H2,1H3	null	CC1C(OC(C1O)O)CO	-1.10000002	89107139;131170395	PubChem:(89107139 131170395)	2
505	1	N/A	-136.64131824730765	C6H12O4	[M + H3N + H]+	RPAFVOYZDGIUNZ	InChI=1S/C6H13O4/c7-1-3-9-6-5-10(6)4-2-8/h6-8H,1-5H2/q+1	null	C1C([O+]1CCO)OCCO	0.0	74983339	PubChem:(74983339);PubChem class - bio and metabolites	16777218
506	1	N/A	-136.6849617881413	C6H12O4	[M + H3N + H]+	SHSKAFBFBHOZCB	InChI=1S/C6H12O4/c1-5(6(7)8)3-10-4-9-2/h5H,3-4H2,1-2H3,(H,7,8)	null	CC(COCOC)C(=O)O	0.100000001	14348500;55303309	PubChem:(14348500 55303309)	2
507	1	N/A	-137.20231732415596	C6H12O4	[M + H3N + H]+	GSGUOOFSYBXGEI	InChI=1S/C6H12O4/c1-3-5(7)4-10-6(8)9-2/h5,7H,3-4H2,1-2H3	null	CCC(COC(=O)OC)O	0.800000012	132603378	PubChem:(132603378)	2
508	1	N/A	-137.2068617419575	C6H12O4	[M + H3N + H]+	YTGRPZKCGMCBDE	InChI=1S/C6H12O4/c1-2-4-6-8-10-9-7-5-3-1/h1-6H2	null	C1CCCOOOOCC1	1.39999998	19821201	PubChem:(19821201)	2
509	1	N/A	-137.285343327465	C6H12O4	[M + H3N + H]+	VMLQFQXJNJYHDC	InChI=1S/C6H12O4/c1-3-5(4(2)7)10-6(8)9/h4-5,7H,3H2,1-2H3,(H,8,9)	null	CCC(C(C)O)OC(=O)O	0.899999976	54399599	PubChem:(54399599)	2
510	1	N/A	-137.41365683930633	C6H12O4	[M + H3N + H]+	SYSKPGKUJADWSC	InChI=1S/C6H12O4/c1-5(7)6(8)10-4-3-9-2/h5,7H,3-4H2,1-2H3	2-methoxyethyl 2-hydroxypropanoate	CC(C(=O)OCCOC)O	-0.300000012	347474;92149718;92297239	PubChem:(347474 92149718 92297239)	2
511	1	N/A	-137.45193360415723	C6H12O4	[M + H3N + H]+	QVNPTEPOWBEITR	InChI=1S/C6H12O4/c1-9-6-5(8)4(7)2-3-10-6/h4-8H,2-3H2,1H3	2-methoxyoxane-3,4-diol	COC1C(C(CCO1)O)O	-1.0	12896925;12896926;12896928;11019017;67657074;101075515;118548864;122412849;130918320	PubChem:(12896925 12896926 12896928 11019017 67657074 101075515 118548864 122412849 130918320)	2
512	1	N/A	-137.54821422648914	C6H12O4	[M + H3N + H]+	TXGGZPPYZLJEJP	InChI=1S/C6H12O4/c1-9-5(3-7)6(4-8)10-2/h3,5-6,8H,4H2,1-2H3	null	COC(CO)C(C=O)OC	-1.10000002	130035094;129801963;129802123;129803838;129807471	PubChem:(130035094 129801963 129802123 129803838 129807471)	2
513	1	N/A	-137.56866284630374	C6H12O4	[M + H3N + H]+	NVGJZDFWPSOTHM	InChI=1S/C6H12O4/c1-9-6-2-4(8)5(3-7)10-6/h4-8H,2-3H2,1H3	1-O-Methyl-2-deoxy-D-ribose	COC1CC(C(O1)CO)O	-0.5	643506;249632;12043215;10844549;9877410;13009278;10154128;13833853;13833854;13833855;13833858;10329493;45039803;54132372;60040627;68004210;68200439;86310170;90793409;89102325;89281034;89365370;102449540	PubChem:(643506 249632 12043215 10844549 9877410 13009278 10154128 13833853 13833854 13833855 13833858 10329493 45039803 54132372 60040627 68004210 68200439 86310170 90793409 89102325 89281034 89365370 102449540);PubMed;ZINC bio:(ZINC04533472 ZINC04533473 ZINC04533474 ZINC04533475 ZINC14962938);KEGG Mine	8589942850
514	1	N/A	-137.60484708636108	C6H12O4	[M + H3N + H]+	FDZNBDQESQIJFS	InChI=1S/C6H12O4/c1-7-4-9-5-8-2-6-3-10-6/h6H,2-5H2,1H3	2-(methoxymethoxymethoxymethyl)oxirane	COCOCOCC1CO1	-0.300000012	59281936	PubChem:(59281936)	2
515	1	N/A	-137.6793182168001	C6H12O4	[M + H3N + H]+	CQAKPCZOXXRLJA	InChI=1S/C6H12O4/c1-9-6(8)2-4-10-5-3-7/h7H,2-5H2,1H3	ACMC-20lxyj	COC(=O)CCOCCO	-0.800000012	15919658	PubChem:(15919658)	2
516	1	N/A	-137.88506332463098	C6H12O4	[M + H3N + H]+	HQIYIIFMZGDUKQ	InChI=1S/C6H12O4/c1-4(7)3-5(10-2)6(8)9/h4-5,7H,3H2,1-2H3,(H,8,9)	null	CC(CC(C(=O)O)OC)O	-0.200000003	87445106	PubChem:(87445106)	2
517	1	N/A	-137.96083339004434	C6H12O4	[M + H3N + H]+	ZBLJPLHMPIOCFC	InChI=1S/C6H12O4/c7-1-5-2-10-6(5,3-8)4-9/h5,7-9H,1-4H2	null	C1C(C(O1)(CO)CO)CO	-2.0999999	67025034	PubChem:(67025034)	2
518	1	N/A	-137.9873952404052	C6H12O4	[M + H3N + H]+	ZUVKOALWBZTCJO	InChI=1S/C6H12O4/c1-4(6(7)8)10-5(2)9-3/h4-5H,1-3H3,(H,7,8)	null	CC(C(=O)O)OC(C)OC	0.5	87942444	PubChem:(87942444)	2
519	1	N/A	-138.18059265319323	C6H12O4	[M + H3N + H]+	GSUYLFROQKPLON	InChI=1S/C6H12O4/c1-5(2)9-4-10-6(7)8-3/h5H,4H2,1-3H3	null	CC(C)OCOC(=O)OC	1.29999995	89375259	PubChem:(89375259)	2
520	1	N/A	-138.37821418886955	C6H12O4	[M + H3N + H]+	UJGRHBJCMHWDOJ	InChI=1S/C6H12O4/c1-3-5(7)10-4(2)6(8)9/h4-5,7H,3H2,1-2H3,(H,8,9)	null	CCC(O)OC(C)C(=O)O	0.400000006	123428309	PubChem:(123428309)	2
521	1	N/A	-138.4300733627715	C6H12O4	[M + H3N + H]+	FGHCAVJLMYVGOV	InChI=1S/C6H12O4/c1-6(2,8)3-5(7)4-10-9/h8-9H,3-4H2,1-2H3	null	CC(C)(CC(=O)COO)O	-0.800000012	55250820	PubChem:(55250820)	2
522	1	N/A	-138.75202203937974	C6H12O4	[M + H3N + H]+	MHXOPRRBRPGTIJ	InChI=1S/C6H12O4/c1-5(3-7)2-6(9)10-4-8/h5,7-8H,2-4H2,1H3	null	CC(CC(=O)OCO)CO	-0.400000006	138489996	PubChem:(138489996)	2
523	1	N/A	-138.76971327792722	C6H12O4	[M + H3N + H]+	BPKNHMQZUKMDFK	InChI=1S/C6H12O4/c1-4(3-5(7)8)6(2,9)10/h4,9-10H,3H2,1-2H3,(H,7,8)	null	CC(CC(=O)O)C(C)(O)O	-0.5	91298840	PubChem:(91298840)	2
524	1	N/A	-138.8204350491988	C6H12O4	[M + H3N + H]+	RQJFXGNXRXUABT	InChI=1S/C6H12O4/c1-4(10-3)6(2,9)5(7)8/h4,9H,1-3H3,(H,7,8)	null	CC(C(C)(C(=O)O)O)OC	-0.400000006	88764305	PubChem:(88764305)	2
525	1	N/A	-139.21243408895927	C6H12O4	[M + H3N + H]+	FPWSNMVKLTXUJE	InChI=1S/C6H12O4/c1-5(7)3-4-6(2,8)10-9-5/h7-8H,3-4H2,1-2H3	null	CC1(CCC(OO1)(C)O)O	-0.100000001	119097953	PubChem:(119097953)	2
526	1	N/A	-139.31914228028765	C6H12O4	[M + H3N + H]+	ZPWDBRYZFMIJIS	InChI=1S/C6H12O4/c1-2-3-4-5(7)6(8,9)10/h8-10H,2-4H2,1H3	null	CCCCC(=O)C(O)(O)O	-0.699999988	54560001	PubChem:(54560001)	2
527	1	N/A	-139.50214027314388	C6H12O4	[M + H3N + H]+	ZYEZWOVIZDCVAJ	InChI=1S/C6H12O4/c7-3-5(8)6-1-2-9-4-10-6/h5-8H,1-4H2	null	C1COCOC1C(CO)O	-1.10000002	130123593	PubChem:(130123593)	2
528	1	N/A	-139.5397258522383	C6H12O4	[M + H3N + H]+	VTTGDJRPXOPEDY	InChI=1S/C6H12O4/c1-3(7)6(10-2)4(8)5(6)9/h3-5,7-9H,1-2H3	null	CC(C1(C(C1O)O)OC)O	-1.20000005	90998569	PubChem:(90998569)	2
529	1	N/A	-139.69482367617627	C6H12O4	[M + H3N + H]+	ZWDMLZCMAYBOES	InChI=1S/C6H12O4/c1-5(7)3-4-10-6(8)9-2/h5,7H,3-4H2,1-2H3	3-hydroxybutyl methyl carbonate	CC(CCOC(=O)OC)O	0.600000024	14620015	PubChem:(14620015)	2
530	1	N/A	-139.72183596851136	C6H12O4	[M + H3N + H]+	MFTFRNAHCWOJFP	InChI=1S/C6H12O4/c1-5(2,8)4(7)6(3,9)10/h8-10H,1-3H3	null	CC(C)(C(=O)C(C)(O)O)O	-1.10000002	85751023	PubChem:(85751023)	2
531	1	N/A	-139.7923162620504	C6H12O4	[M + H3N + H]+	CWSSEBJDYUKDJD	InChI=1S/C6H12O4/c1-5(2)3-9-6(8)10-4-7/h5,7H,3-4H2,1-2H3	null	CC(C)COC(=O)OCO	1.29999995	88273143	PubChem:(88273143)	2
532	1	N/A	-139.88695604263748	C6H12O4	[M + H3N + H]+	ZJRZFCKHJNWFCF	InChI=1S/C6H12O4/c7-5-9-3-1-2-4-10-6-8/h1-2,7-8H,3-6H2	null	C(C=CCOCO)OCO	-0.899999976	130125280	PubChem:(130125280)	2
533	1	N/A	-139.98661148921667	C6H12O4	[M + H3N + H]+	YEYAFZMVHXLOFR	InChI=1S/C6H12O4/c7-3-1-5-10-6(9)2-4-8/h1,3,6-9H,2,4-5H2	null	C(CO)C(O)OCC=CO	-0.800000012	88201942	PubChem:(88201942)	2
534	1	N/A	-140.0063524776335	C6H12O4	[M + H3N + H]+	IMAXLNCKOJCLPF	InChI=1S/C6H12O4/c7-3-5-1-4(8)2-6(9)10-5/h4-9H,1-3H2	null	C1C(CC(OC1CO)O)O	-1.20000005	9942183;10329421;53923410;53923411;66954081;88982162;88986089;101932487;129103545;129103811;139459223	PubChem:(9942183 10329421 53923410 53923411 66954081 88982162 88986089 101932487 129103545 129103811 139459223)	2
535	1	N/A	-140.30644812659384	C6H12O4	[M + H3N + H]+	WVMKBBSDLABXRW	InChI=1S/C6H12O4/c1-4-2-6(9,10-4)5(8)3-7/h4-5,7-9H,2-3H2,1H3	null	CC1CC(O1)(C(CO)O)O	-0.800000012	66898461	PubChem:(66898461)	2
536	1	N/A	-140.3427121578575	C6H12O4	[M + H3N + H]+	YSPBVQPFDYLBEI	InChI=1S/C6H12O4/c1-6(4-8)9-3-5(2-7)10-6/h5,7-8H,2-4H2,1H3	null	CC1(OCC(O1)CO)CO	-1.20000005	12241309;12241310;130859558;133617743	PubChem:(12241309 12241310 130859558 133617743)	2
537	1	N/A	-140.46160650873534	C6H12O4	[M + H3N + H]+	UWYHHUNMDHWDHZ	InChI=1S/C6H12O4/c1-3-6(2,10)4(7)5(8)9/h5,8-10H,3H2,1-2H3	null	CCC(C)(C(=O)C(O)O)O	-0.171620607	""	EcoCyc Mine;YMDB Mine;KEGG Mine	60129542144
538	1	N/A	-140.68896453905546	C6H12O4	[M + H3N + H]+	HBHPDAVIPCHIHE	InChI=1S/C6H12O4/c1-3-5(6(7)8)10-4-9-2/h5H,3-4H2,1-2H3,(H,7,8)	2-(methoxymethoxy)butanoic acid	CCC(C(=O)O)OCOC	0.600000024	12913833	PubChem:(12913833)	2
539	1	N/A	-140.97720833681467	C6H12O4	[M + H3N + H]+	ARNSGUITHGSZES	InChI=1S/C6H12O4/c1-3-6(4-7,10-2)5(8)9/h7H,3-4H2,1-2H3,(H,8,9)	null	CCC(CO)(C(=O)O)OC	-0.300000012	57186783	PubChem:(57186783)	2
540	1	N/A	-140.9871907753071	C6H12O4	[M + H3N + H]+	GMNHQPOWMOHXJT	InChI=1S/C6H12O4/c1-5(9-2)10-4-3-6(7)8/h5H,3-4H2,1-2H3,(H,7,8)	null	CC(OC)OCCC(=O)O	0.0	91087293;91375470	PubChem:(91087293 91375470)	2
541	1	N/A	-141.14305789910483	C6H12O4	[M + H3N + H]+	JQFDHEPGPGSBSF	InChI=1S/C6H12O4/c7-5-3-1-2-4-6(8,9)10/h5,8-10H,1-4H2	null	C(CCC(O)(O)O)CC=O	-1.20000005	23189836	PubChem:(23189836)	2
542	1	N/A	-141.15668546597348	C6H12O4	[M + H3N + H]+	AAEXZODCYQXDTN	InChI=1S/C6H12O4/c1-3-5(9-2)4(7)6(8)10-3/h3-8H,1-2H3	null	CC1C(C(C(O1)O)O)OC	-0.899999976	25209628;74429890	PubChem:(25209628 74429890)	2
543	1	N/A	-141.19636494758865	C6H12O4	[M + H3N + H]+	FXWLLDTYEUQWCS	InChI=1S/C6H12O4/c1-5(9-7)6-3-2-4-8-10-6/h5-7H,2-4H2,1H3	null	CC(C1CCCOO1)OO	0.5	129725816	PubChem:(129725816)	2
544	1	N/A	-141.2428377582213	C6H12O4	[M + H3N + H]+	ZXEYLIDTQGAVBA	InChI=1S/C6H12O4/c1-6(2-7,3-8)4-10-5-9/h5,7-8H,2-4H2,1H3	[3-hydroxy-2-(hydroxymethyl)-2-methylpropyl] formate	CC(CO)(CO)COC=O	-0.600000024	17846534	PubChem:(17846534)	2
545	1	N/A	-141.24768540525315	C6H12O4	[M + H3N + H]+	WYYJTPXFRKBJQW	InChI=1S/C6H12O4/c1-3-10-5(7)4-6(2,8)9/h8-9H,3-4H2,1-2H3	ethyl 3,3-dihydroxybutanoate	CCOC(=O)CC(C)(O)O	-0.600000024	21274354	PubChem:(21274354)	2
546	1	N/A	-141.41396940751525	C6H12O4	[M + H3N + H]+	DLJCQCZXVNBRNH	InChI=1S/C6H12O4/c1-5(9-2)6(8)10-4-3-7/h5,7H,3-4H2,1-2H3	null	CC(C(=O)OCCO)OC	-0.300000012	131069125	PubChem:(131069125)	2
547	1	N/A	-141.5390486459245	C6H12O4	[M + H3N + H]+	MSSIEWYRNIYFQT	InChI=1S/C6H12O4/c1-6(8)9-3-2-5(4-7)10-6/h5,7-8H,2-4H2,1H3	null	CC1(OCCC(O1)CO)O	-0.800000012	21610645	PubChem:(21610645)	2
548	1	N/A	-142.24926900683707	C6H12O4	[M + H3N + H]+	CKDJRBJVZIRYFG	InChI=1S/C6H12O4/c1-4-8-5(2)10-6(3-7)9-4/h4-7H,3H2,1-2H3	null	CC1OC(OC(O1)CO)C	0.54176122	""	KEGG Mine	8589934592
549	1	N/A	-142.2597989088093	C6H12O4	[M + H3N + H]+	GYJYICVTDAAWHC	InChI=1S/C6H12O4/c1-4(3-7)10-6(9)5(2)8/h4-5,7-8H,3H2,1-2H3	null	CC(CO)OC(=O)C(C)O	-0.400000006	58519871	PubChem:(58519871)	2
550	1	N/A	-142.32503652072947	C6H12O4	[M + H3N + H]+	XBZTVNTYYRESHW	InChI=1S/C6H12O4/c1-2-4-3-9-6(10-4)5(7)8/h4-8H,2-3H2,1H3	null	CCC1COC(O1)C(O)O	-0.400000006	69983592	PubChem:(69983592)	2
551	1	N/A	-142.55420626216295	C6H12O4	[M + H3N + H]+	BFCSJQAVKVHTHC	InChI=1S/C6H12O4/c1-5-2-9-6(3-7,4-8)10-5/h5,7-8H,2-4H2,1H3	null	CC1COC(O1)(CO)CO	-1.20000005	69983724	PubChem:(69983724)	2
552	1	N/A	-142.69204927450141	C6H12O4	[M + H3N + H]+	OXGVQEZRASNBCK	InChI=1S/C6H12O4/c1-3(5(7)8)4(2)6(9)10/h3-5,7-8H,1-2H3,(H,9,10)	4,4-dihydroxy-2,3-dimethylbutanoic acid	CC(C(C)C(=O)O)C(O)O	-0.100000001	59957304	PubChem:(59957304)	2
553	1	N/A	-142.89835781135633	C6H12O4	[M + H3N + H]+	GIGJMJKMOGFPDN	InChI=1S/C6H12O4/c1-8-5-3-4(7)6(9-2)10-5/h4-7H,3H2,1-2H3	3-Furanol, tetrahydro-2,5-dimethoxy-	COC1CC(C(O1)OC)O	-0.400000006	21781182;99988450;99988447;99988455;99988459;124603922;124603923	PubChem:(21781182 99988450 99988447 99988455 99988459 124603922 124603923)	2
554	1	N/A	-143.00104485706987	C6H12O4	[M + H3N + H]+	HUHYLYQSXNFIGX	InChI=1S/C6H12O4/c1-4(6(9)10)2-3-5(7)8/h5-10H,1-3H2	null	C=C(CCC(O)O)C(O)O	-0.699999988	117972888	PubChem:(117972888)	2
555	1	N/A	-143.42173879807066	C6H12O4	[M + H3N + H]+	NNPUJXDFGWUJFZ	InChI=1S/C6H12O4/c1-3-5(7)10-4-6(2,8)9/h8-9H,3-4H2,1-2H3	null	CCC(=O)OCC(C)(O)O	-0.400000006	87672438	PubChem:(87672438)	2
556	1	N/A	-143.68627166604722	C6H12O4	[M + H3N + H]+	NZNRHVJJIVIPGJ	InChI=1S/C6H12O4/c1-3-6(8,9)5(7)10-4-2/h8-9H,3-4H2,1-2H3	null	CCC(C(=O)OCC)(O)O	0.0	57283775	PubChem:(57283775)	2
557	1	N/A	-143.72077470641605	C6H12O4	[M + H3N + H]+	XKXDXWAQHUEJGN	InChI=1S/C6H12O4/c1-4(7)6(2,9)5(8)10-3/h4,7,9H,1-3H3	methyl (2S,3S)-2,3-dihydroxy-2-methylbutanoate	CC(C(C)(C(=O)OC)O)O	-0.600000024	15694595;15694596;59873610;91749456;102371234	PubChem:(15694595 15694596 59873610 91749456 102371234)	2
558	1	N/A	-143.72743650082415	C6H12O4	[M + H3N + H]+	IGUJXLDDXLUPEB	InChI=1S/C6H12O4/c1-2-3-4-5-9-6(7)10-8/h8H,2-5H2,1H3	hydroxy pentyl carbonate	CCCCCOC(=O)OO	1.79999995	19883801	PubChem:(19883801)	2
559	1	N/A	-143.8621472475621	C6H12O4	[M + H3N + H]+	BMIVGNARCWDLMQ	InChI=1S/C6H12O4/c1-9-4-5(3-7)6(8)10-2/h5,7H,3-4H2,1-2H3	null	COCC(CO)C(=O)OC	-0.699999988	117273615	PubChem:(117273615)	2
560	1	N/A	-143.88867928220174	C6H12O4	[M + H3N + H]+	DYRQUBUCDGTDTM	InChI=1S/C6H12O4/c1-7-5-3-10-6(8-2)4-9-5/h5-6H,3-4H2,1-2H3	(2R,5R)-2,5-dimethoxy-1,4-dioxane	COC1COC(CO1)OC	-0.300000012	12500492;12500493;21724648	PubChem:(12500492 12500493 21724648)	2
561	1	N/A	-144.02753172266486	C6H12O4	[M + H3N + H]+	CHTLITLMIHJYIN	InChI=1S/C6H12O4/c1-3-8-5-10-6-9-4-2-7-1/h1-6H2	1,3,5,8-tetraoxecane	C1COCOCOCCO1	-0.0983293131	18963160	PubChem:(18963160)	2
562	1	N/A	-144.12873776805878	C6H12O4	[M + H3N + H]+	LETZXJNAKVFQFC	InChI=1S/C6H12O4/c1-3-9-5(2)10-4-6(7)8/h5H,3-4H2,1-2H3,(H,7,8)	2-(1-ethoxyethoxy)acetate	CCOC(C)OCC(=O)O	0.400000006	14961578;22011611;129363274;129363275	PubChem:(14961578 22011611 129363274 129363275)	2
563	1	N/A	-144.5225970683973	C6H12O4	[M + H3N + H]+	VKCKOTRHMPAORK	InChI=1S/C6H12O4/c1-9-4-5(7)3-6(8)10-2/h5,7H,3-4H2,1-2H3	Butanoic acid, 3-hydroxy-4-methoxy-, methyl ester	COCC(CC(=O)OC)O	-0.699999988	15190009;15190010;11789356	PubChem:(15190009 15190010 11789356)	2
564	1	N/A	-144.53134721134316	C6H12O4	[M + H3N + H]+	QZUNFHVJOLRGQK	InChI=1S/C6H12O4/c1-5(8-2)4-10-6(7)9-3/h5H,4H2,1-3H3	null	CC(COC(=O)OC)OC	0.800000012	87202899	PubChem:(87202899)	2
565	1	N/A	-144.71584884873212	C6H12O4	[M + H3N + H]+	LJTUYJWMXKWMAS	InChI=1S/C6H12O4/c1-9-3-5-4(7)2-6(8)10-5/h4-8H,2-3H2,1H3	(2S,4S,5R)-5-(methoxymethyl)oxolane-2,4-diol	COCC1C(CC(O1)O)O	-1.0	9898867;9964139;14607361;14607362	PubChem:(9898867 9964139 14607361 14607362);KEGG Mine	8589934594
566	1	N/A	-144.82868128007212	C6H12O4	[M + H3N + H]+	BYWYWLCGGUZZHC	InChI=1S/C6H12O4/c1-9-5-10-6(4-8)2-3-7/h4,6-7H,2-3,5H2,1H3	null	COCOC(CCO)C=O	-0.699999988	131993460	PubChem:(131993460)	2
567	1	N/A	-144.96093331797073	C6H12O4	[M + H3N + H]+	DKRLDWPGYHOBCX	InChI=1S/C6H12O4/c1-10-6(9)3-2-5(8)4-7/h5,7-8H,2-4H2,1H3	methyl 4,5-dihydroxypentanoate	COC(=O)CCC(CO)O	-0.899999976	19387676;119098058;130717118	PubChem:(19387676 119098058 130717118)	2
568	1	N/A	-145.06003598199482	C6H12O4	[M + H3N + H]+	LPEIGMSRDRNCOJ	InChI=1S/C6H12O4/c1-4(5(7)8)3-6(2,9)10/h4,9-10H,3H2,1-2H3,(H,7,8)	4,4-dihydroxy-2-methylpentanoic acid	CC(CC(C)(O)O)C(=O)O	-0.400000006	20130991	PubChem:(20130991)	2
569	1	N/A	-145.133415721341	C6H12O4	[M + H3N + H]+	KCRHMZZYLPLQPZ	InChI=1S/C6H12O4/c1-3-4(2)6(9,10)5(7)8/h4,9-10H,3H2,1-2H3,(H,7,8)	null	CCC(C)C(C(=O)O)(O)O	0.100000001	55303094	PubChem:(55303094)	2
570	1	N/A	-145.16320972401738	C6H12O4	[M + H3N + H]+	AYDYEKFBIYMLFE	InChI=1S/C6H12O4/c1-5(2)9-4-6(8,3-7)10-5/h7-8H,3-4H2,1-2H3	null	CC1(OCC(O1)(CO)O)C	-1.0	57010938	PubChem:(57010938);PubMed	66
571	1	N/A	-145.2431260106966	C6H12O4	[M + H3N + H]+	HNADYULRAQUUDI	InChI=1S/C6H12O4/c1-6(10-3,4-9-2)5(7)8/h4H2,1-3H3,(H,7,8)	2,3-dimethoxy-2-methylpropanoic acid	CC(COC)(C(=O)O)OC	-0.300000012	59779897;94475078;94475079	PubChem:(59779897 94475078 94475079)	2
572	1	N/A	-145.3148980851328	C6H12O4	[M + H3N + H]+	VDJPKWIUDLBBMU	InChI=1S/C6H12O4/c1-3-9-6(5(7)8)10-4-2/h7-8H,3-4H2,1-2H3	null	CCOC(=C(O)O)OCC	0.899999976	88617578	PubChem:(88617578)	2
573	1	N/A	-145.46301635899337	C6H12O4	[M + H3N + H]+	QKCLUKHZSHQYDX	InChI=1S/C6H12O4/c1-5(2)6(8,9)4(7)3-10-5/h4,7-9H,3H2,1-2H3	null	CC1(C(C(CO1)O)(O)O)C	-1.5	57721036	PubChem:(57721036)	2
574	1	N/A	-145.84114606910023	C6H12O4	[M + H3N + H]+	FBUYIOPICYKCOI	InChI=1S/C6H12O4/c7-3-5(4-8)6-9-1-2-10-6/h5-8H,1-4H2	1,3-Propanediol, 2-(1,3-dioxolan-2-yl)-	C1COC(O1)C(CO)CO	-1.20000005	59207570	PubChem:(59207570)	2
575	1	N/A	-145.86424175627425	C6H12O4	[M + H3N + H]+	SBKVVPFHWQUIIZ	InChI=1S/C6H12O4/c1-10-6(9)4-2-3-5(7)8/h6,9H,2-4H2,1H3,(H,7,8)	null	COC(CCCC(=O)O)O	-0.200000003	12841194	PubChem:(12841194)	2
